"","X.","Name","Symbol","Market.Cap","Price","Circulating.Supply","Volume..24h.","X..1h","X..24h","X..7d","url","done"
"144",144,"DDD
Scry.info","DDD","$126,519,317","$0.421651","300,056,960
*","$1,381,600","1.09%","-2.78%","59.57%","https://coinmarketcap.com/currencies/scryinfo/historical-data/?start=20000101&end=21000101",TRUE
"145",145,"POE
Po.et","POE","$126,338,530","$0.055484","2,277,026,355
*","$5,844,760","0.22%","-2.93%","-7.90%","https://coinmarketcap.com/currencies/poet/historical-data/?start=20000101&end=21000101",TRUE
"146",146,"SMT
SmartMesh","SMT","$126,081,051","$0.089184","1,413,716,694
 *","$1,900,200","0.15%","-4.17%","-17.62%","https://coinmarketcap.com/currencies/smartmesh/historical-data/?start=20000101&end=21000101",TRUE
"147",147,"ANT
Aragon","ANT","$125,760,900","$4.77","26,369,502
*","$602,495","-0.19%","2.50%","8.80%","https://coinmarketcap.com/currencies/aragon/historical-data/?start=20000101&end=21000101",TRUE
"148",148,"MTL
Metal","MTL","$124,909,671","$5.16","24,212,368
*","$9,269,180","-0.81%","-2.06%","2.41%","https://coinmarketcap.com/currencies/metal/historical-data/?start=20000101&end=21000101",TRUE
"149",149,"ENJ
Enjin Coin","ENJ","$123,958,105","$0.163924","756,192,535
*","$15,315,400","-0.48%","-6.60%","4.99%","https://coinmarketcap.com/currencies/enjin-coin/historical-data/?start=20000101&end=21000101",TRUE
"150",150,"BTX
Bitcore","BTX","$121,677,885","$7.85","15,491,960","$624,630","0.99%","1.65%","7.36%","https://coinmarketcap.com/currencies/bitcore/historical-data/?start=20000101&end=21000101",TRUE
"151",151,"SMART
SmartCash","SMART","$121,340,013","$0.129504","936,959,580","$218,976","0.68%","-8.88%","-20.83%","https://coinmarketcap.com/currencies/smartcash/historical-data/?start=20000101&end=21000101",TRUE
"152",152,"SAN
Santiment Net...","SAN","$121,334,916","$1.94","62,660,371
*","$1,550,550","1.24%","-0.49%","-0.64%","https://coinmarketcap.com/currencies/santiment/historical-data/?start=20000101&end=21000101",TRUE
"153",153,"BOS
BOScoin","BOS","$119,583,257","$0.269233","444,162,703
*","$521,776","1.29%","-0.53%","-22.28%","https://coinmarketcap.com/currencies/boscoin/historical-data/?start=20000101&end=21000101",TRUE
"154",154,"DROP
Dropil","DROP","$119,114,171","$0.006347","18,766,412,165
*","$178,686","-1.03%","5.21%","21.41%","https://coinmarketcap.com/currencies/dropil/historical-data/?start=20000101&end=21000101",TRUE
"155",155,"HPB
High Performa...","HPB","$118,300,534","$3.98","29,702,632
*","$8,145,310","1.10%","3.87%","19.39%","https://coinmarketcap.com/currencies/high-performance-blockchain/historical-data/?start=20000101&end=21000101",TRUE
"156",156,"AMB
Ambrosus","AMB","$118,154,973","$0.817167","144,590,975
*","$4,737,020","1.01%","3.90%","16.31%","https://coinmarketcap.com/currencies/amber/historical-data/?start=20000101&end=21000101",TRUE
"157",157,"BLZ
Bluzelle","BLZ","$116,956,736","$0.653740","178,904,053
*","$5,302,190","0.53%","-3.10%","5.08%","https://coinmarketcap.com/currencies/bluzelle/historical-data/?start=20000101&end=21000101",TRUE
"158",158,"VTC
Vertcoin","VTC","$116,904,527","$2.65","44,083,475","$1,481,860","-0.23%","-3.64%","-2.45%","https://coinmarketcap.com/currencies/vertcoin/historical-data/?start=20000101&end=21000101",TRUE
"159",159,"DTA
DATA","DTA","$114,778,893","$0.024809","4,626,502,186
*","$27,271,800","0.34%","20.23%","16.34%","https://coinmarketcap.com/currencies/data/historical-data/?start=20000101&end=21000101",TRUE
"160",160,"GAME
GameCredits","GAME","$114,747,523","$1.78","64,355,352","$545,280","0.57%","-1.15%","0.14%","https://coinmarketcap.com/currencies/gamecredits/historical-data/?start=20000101&end=21000101",TRUE
"161",161,"RDN
Raiden Networ...","RDN","$113,906,061","$2.27","50,168,936
*","$3,750,820","0.96%","-1.70%","-2.81%","https://coinmarketcap.com/currencies/raiden-network-token/historical-data/?start=20000101&end=21000101",TRUE
"162",162,"TPAY
TokenPay","TPAY","$113,837,487","$7.42","15,344,461
*","$389,455","0.54%","7.32%","-15.72%","https://coinmarketcap.com/currencies/tokenpay/historical-data/?start=20000101&end=21000101",TRUE
"163",163,"GTC
Game.com","GTC","$113,766,786","$0.190158","598,275,046
*","$23,918,000","5.71%","3.34%","-10.07%","https://coinmarketcap.com/currencies/game/historical-data/?start=20000101&end=21000101",TRUE
"164",164,"LCC
Litecoin Cash","LCC","$112,050,349","$0.197386","567,671,207","$229,984","-0.16%","-2.72%","-12.95%","https://coinmarketcap.com/currencies/litecoin-cash/historical-data/?start=20000101&end=21000101",TRUE
"165",165,"RPX
Red Pulse","RPX","$109,259,867","$0.135573","805,911,699
*","$3,435,480","0.01%","-1.67%","11.49%","https://coinmarketcap.com/currencies/red-pulse/historical-data/?start=20000101&end=21000101",TRUE
"166",166,"IHT
 IHT Real Esta...","IHT","$106,867,203","$0.217619","491,074,782
*","$9,355,210","1.54%","-2.76%","15.18%","https://coinmarketcap.com/currencies/iht-real-estate-protocol/historical-data/?start=20000101&end=21000101",TRUE
"167",167,"TOMO
TomoChain","TOMO","$105,269,450","$1.91","55,000,000
*","$290,629","-2.09%","-7.57%","6.68%","https://coinmarketcap.com/currencies/tomochain/historical-data/?start=20000101&end=21000101",TRUE
"168",168,"SPHTX
SophiaTX","SPHTX","$105,268,541","$0.548354","191,971,867
*","$776,653","1.06%","1.46%","-1.24%","https://coinmarketcap.com/currencies/sophiatx/historical-data/?start=20000101&end=21000101",TRUE
"169",169,"MED
MediBloc","MED","$104,029,607","$0.035070","2,966,384,100
*","$755,622","0.79%","2.24%","-3.83%","https://coinmarketcap.com/currencies/medibloc/historical-data/?start=20000101&end=21000101",TRUE
"170",170,"THETA
Theta Token","THETA","$103,815,785","$0.165155","628,596,079
*","$7,636,390","-1.34%","-5.81%","11.11%","https://coinmarketcap.com/currencies/theta-token/historical-data/?start=20000101&end=21000101",TRUE
"171",171,"BCO
BridgeCoin","BCO","$103,160,790","$3.82","27,000,000","$30,598","-2.55%","-3.09%","40.04%","https://coinmarketcap.com/currencies/bridgecoin/historical-data/?start=20000101&end=21000101",TRUE
"172",172,"GRS
Groestlcoin","GRS","$101,719,828","$1.45","69,978,349","$8,271,160","-1.18%","-1.50%","-1.20%","https://coinmarketcap.com/currencies/groestlcoin/historical-data/?start=20000101&end=21000101",TRUE
"173",173,"SNM
SONM","SNM","$100,635,858","$0.279855","359,600,000
*","$1,819,280","-0.06%","-0.53%","14.00%","https://coinmarketcap.com/currencies/sonm/historical-data/?start=20000101&end=21000101",TRUE
"174",174,"LEND
ETHLend","LEND","$99,912,784","$0.091972","1,086,339,146
*","$2,968,620","-0.91%","-5.15%","12.67%","https://coinmarketcap.com/currencies/ethlend/historical-data/?start=20000101&end=21000101",TRUE
"175",175,"DTR
Dynamic Tradi...","DTR","$99,707,914","$0.082948","1,202,053,264
*","$16,616","0.13%","-5.95%","-13.29%","https://coinmarketcap.com/currencies/dynamic-trading-rights/historical-data/?start=20000101&end=21000101",TRUE
"176",176,"CS
Credits","CS","$98,858,759","$0.718157","137,656,193
*","$4,264,240","0.10%","2.99%","13.09%","https://coinmarketcap.com/currencies/credits/historical-data/?start=20000101&end=21000101",TRUE
"177",177,"DEW
DEW","DEW","$97,683,698","$0.946139","103,244,553
*","$309,666","0.94%","-2.14%","-14.69%","https://coinmarketcap.com/currencies/dew/historical-data/?start=20000101&end=21000101",TRUE
"178",178,"ZCO
Zebi","ZCO","$94,329,293","$0.204678","460,866,790
*","$3,617,140","1.46%","17.26%","?","https://coinmarketcap.com/currencies/zebi/historical-data/?start=20000101&end=21000101",TRUE
"179",179,"UBQ
Ubiq","UBQ","$93,827,310","$2.31","40,693,633","$296,105","0.91%","-2.48%","0.21%","https://coinmarketcap.com/currencies/ubiq/historical-data/?start=20000101&end=21000101",TRUE
"180",180,"PLR
Pillar","PLR","$93,779,858","$0.412428","227,384,800
*","$191,615","-0.20%","-10.45%","2.07%","https://coinmarketcap.com/currencies/pillar/historical-data/?start=20000101&end=21000101",TRUE
"181",181,"PPP
PayPie","PPP","$93,451,050","$1.13","82,500,000
*","$529,437","-3.93%","-6.94%","-12.09%","https://coinmarketcap.com/currencies/paypie/historical-data/?start=20000101&end=21000101",TRUE
"182",182,"TKY
THEKEY","TKY","$92,532,562","$0.020540","4,504,993,287
*","$1,496,100","-0.36%","-0.95%","-0.36%","https://coinmarketcap.com/currencies/thekey/historical-data/?start=20000101&end=21000101",TRUE
"183",183,"DPY
Delphy","DPY","$91,867,609","$2.29","40,041,673
*","$7,607,690","2.45%","45.45%","94.49%","https://coinmarketcap.com/currencies/delphy/historical-data/?start=20000101&end=21000101",TRUE
"184",184,"INK
Ink","INK","$90,705,178","$0.195523","463,910,527
*","$9,871,300","0.25%","-9.59%","12.44%","https://coinmarketcap.com/currencies/ink/historical-data/?start=20000101&end=21000101",TRUE
"185",185,"AUTO
Cube","AUTO","$90,323,369","$0.014394","6,274,940,000
*","$1,537,980","0.94%","4.79%","-10.58%","https://coinmarketcap.com/currencies/cube/historical-data/?start=20000101&end=21000101",TRUE
"186",186,"BLOCK
Blocknet","BLOCK","$89,833,340","$17.52","5,128,762
*","$375,604","-0.39%","-4.16%","-13.09%","https://coinmarketcap.com/currencies/blocknet/historical-data/?start=20000101&end=21000101",TRUE
"187",187,"XAS
Asch","XAS","$89,712,139","$0.960975","93,355,331","$2,659,870","0.31%","1.51%","-0.34%","https://coinmarketcap.com/currencies/asch/historical-data/?start=20000101&end=21000101",TRUE
"188",188,"ITC
IoT Chain","ITC","$89,541,678","$1.84","48,603,729
*","$8,162,310","-0.69%","-3.04%","25.44%","https://coinmarketcap.com/currencies/iot-chain/historical-data/?start=20000101&end=21000101",TRUE
"189",189,"GVT
Genesis Vision","GVT","$89,057,765","$23.90","3,726,781
*","$8,535,360","0.86%","-2.66%","7.49%","https://coinmarketcap.com/currencies/genesis-vision/historical-data/?start=20000101&end=21000101",TRUE
"190",190,"NAV
NavCoin","NAV","$86,786,645","$1.38","62,798,770
*","$1,333,360","0.11%","-3.29%","-2.42%","https://coinmarketcap.com/currencies/nav-coin/historical-data/?start=20000101&end=21000101",TRUE
"191",191,"BIX
Bibox Token","BIX","$86,042,363","$0.824615","104,342,466
*","$39,685,300","0.86%","0.18%","12.68%","https://coinmarketcap.com/currencies/bibox-token/historical-data/?start=20000101&end=21000101",TRUE
"192",192,"RCN
Ripio Credit ...","RCN","$85,974,138","$0.175000","491,280,791
*","$11,627,400","-0.56%","3.72%","13.43%","https://coinmarketcap.com/currencies/ripio-credit-network/historical-data/?start=20000101&end=21000101",TRUE
"193",193,"OST
OST","OST","$83,333,396","$0.258990","321,762,988
*","$2,396,500","0.45%","-2.51%","3.42%","https://coinmarketcap.com/currencies/ost/historical-data/?start=20000101&end=21000101",TRUE
"194",194,"PPC
Peercoin","PPC","$83,216,448","$3.36","24,745,810","$1,389,010","2.38%","17.39%","29.63%","https://coinmarketcap.com/currencies/peercoin/historical-data/?start=20000101&end=21000101",TRUE
"195",195,"BRD
Bread","BRD","$81,385,986","$0.915862","88,862,718
*","$848,283","1.01%","-0.07%","19.70%","https://coinmarketcap.com/currencies/bread/historical-data/?start=20000101&end=21000101",TRUE
"196",196,"VEE
BLOCKv","VEE","$80,234,273","$0.052392","1,531,433,921
*","$1,324,490","1.55%","-0.23%","-7.17%","https://coinmarketcap.com/currencies/blockv/historical-data/?start=20000101&end=21000101",TRUE
"197",197,"C20
CRYPTO20","C20","$80,028,062","$2.02","39,667,142
*","$1,790,640","0.98%","1.46%","6.41%","https://coinmarketcap.com/currencies/c20/historical-data/?start=20000101&end=21000101",TRUE
"198",198,"AST
AirSwap","AST","$78,303,150","$0.522021","150,000,000
*","$3,280,540","1.54%","1.17%","-5.30%","https://coinmarketcap.com/currencies/airswap/historical-data/?start=20000101&end=21000101",TRUE
"199",199,"EDO
Eidoo","EDO","$78,120,494","$2.67","29,261,461
*","$9,736,690","0.32%","-0.07%","6.51%","https://coinmarketcap.com/currencies/eidoo/historical-data/?start=20000101&end=21000101",TRUE
"200",200,"ZCL
ZClassic","ZCL","$77,281,520","$19.85","3,892,550","$4,455,620","-0.35%","-0.26%","-28.32%","https://coinmarketcap.com/currencies/zclassic/historical-data/?start=20000101&end=21000101",TRUE
"201",201,"ADX
AdEx","ADX","$76,115,327","$1.04","73,430,701
*","$5,969,620","0.05%","-4.80%","-4.71%","https://coinmarketcap.com/currencies/adx-net/historical-data/?start=20000101&end=21000101",TRUE
"202",202,"CLOAK
CloakCoin","CLOAK","$75,289,138","$14.67","5,130,820
*","$5,929,380","0.13%","11.38%","-3.70%","https://coinmarketcap.com/currencies/cloakcoin/historical-data/?start=20000101&end=21000101",TRUE
"203",203,"DATA
Streamr DATAcoin","DATA","$74,858,754","$0.110549","677,154,514
*","$642,458","1.18%","7.04%","10.77%","https://coinmarketcap.com/currencies/streamr-datacoin/historical-data/?start=20000101&end=21000101",TRUE
"204",204,"XPM
Primecoin","XPM","$74,304,758","$3.16","23,530,844","$1,011,380","1.55%","-1.08%","24.70%","https://coinmarketcap.com/currencies/primecoin/historical-data/?start=20000101&end=21000101",TRUE
"205",205,"SNGLS
SingularDTV","SNGLS","$73,801,200","$0.123002","600,000,000
*","$2,355,830","0.01%","-4.17%","16.44%","https://coinmarketcap.com/currencies/singulardtv/historical-data/?start=20000101&end=21000101",TRUE
"206",206,"QRL
Quantum Resis...","QRL","$73,500,960","$1.41","52,000,000
*","$462,654","-0.06%","0.89%","4.03%","https://coinmarketcap.com/currencies/quantum-resistant-ledger/historical-data/?start=20000101&end=21000101",TRUE
"207",207,"EMC2
Einsteinium","EMC2","$73,406,757","$0.338445","216,894,198","$6,219,970","-0.15%","2.63%","-2.88%","https://coinmarketcap.com/currencies/einsteinium/historical-data/?start=20000101&end=21000101",TRUE
"208",208,"HOT
Hydro Protocol","HOT","$73,012,212","$0.104006","702,000,000
*","$1,686,980","1.05%","12.99%","94.33%","https://coinmarketcap.com/currencies/hydro-protocol/historical-data/?start=20000101&end=21000101",TRUE
"209",209,"BAY
BitBay","BAY","$72,955,441","$0.072096","1,011,920,786
*","$1,094,610","0.67%","1.48%","-6.85%","https://coinmarketcap.com/currencies/bitbay/historical-data/?start=20000101&end=21000101",TRUE
"210",210,"APPC
AppCoins","APPC","$70,266,943","$0.702288","100,054,312
*","$4,645,700","-0.57%","-1.50%","0.70%","https://coinmarketcap.com/currencies/appcoins/historical-data/?start=20000101&end=21000101",TRUE
"211",211,"TEL
Telcoin","TEL","$69,580,566","$0.002378","29,259,751,257
*","$682,172","1.16%","4.94%","8.67%","https://coinmarketcap.com/currencies/telcoin/historical-data/?start=20000101&end=21000101",TRUE
"212",212,"SPANK
SpankChain","SPANK","$68,985,375","$0.229918","300,043,386
*","$105,058","0.76%","5.33%","26.22%","https://coinmarketcap.com/currencies/spankchain/historical-data/?start=20000101&end=21000101",TRUE
"213",213,"TRUE
True Chain","TRUE","$68,161,500","$2.73","25,000,000
*","$251,018,000","-0.66%","9.37%","97.19%","https://coinmarketcap.com/currencies/true-chain/historical-data/?start=20000101&end=21000101",TRUE
"214",214,"TAAS
TaaS","TAAS","$66,636,730","$8.18","8,146,001
*","$1,200,560","-0.73%","15.94%","51.28%","https://coinmarketcap.com/currencies/taas/historical-data/?start=20000101&end=21000101",TRUE
"215",215,"ION
ION","ION","$64,710,581","$3.09","20,960,658
*","$304,128","-0.50%","-1.26%","2.29%","https://coinmarketcap.com/currencies/ion/historical-data/?start=20000101&end=21000101",TRUE
"216",216,"WPR
WePower","WPR","$64,531,698","$0.152533","423,067,123
*","$4,336,080","0.57%","3.17%","-4.88%","https://coinmarketcap.com/currencies/wepower/historical-data/?start=20000101&end=21000101",TRUE
